[GLOBAL_MONITOR] T=490,p50=1.0,p99=1.0,req/s=597.9,req_tot=5979.0,comp=5979.0,supp=760.0,inst=104,config=list[8, 8, 1, 1, 1, 19, 14, 5, 5, 14, 14, 14]
[GLOBAL_MONITOR] T=500,p50=1.0,p99=1.0,req/s=517.8,req_tot=5178.0,comp=5178.0,supp=720.0,inst=97,config=list[7, 7, 1, 1, 1, 18, 13, 5, 5, 13, 13, 13]
[GLOBAL_MONITOR] T=510,p50=1.0,p99=1.0,req/s=439.6,req_tot=4396.0,comp=4396.0,supp=550.0,inst=75,config=list[5, 5, 1, 1, 1, 14, 10, 4, 4, 10, 10, 10]
[GLOBAL_MONITOR] T=520,p50=1.0,p99=1.0,req/s=354.9,req_tot=3549.0,comp=3549.0,supp=550.0,inst=75,config=list[5, 5, 1, 1, 1, 14, 10, 4, 4, 10, 10, 10]
[GLOBAL_MONITOR] T=530,p50=1.0,p99=1.0,req/s=301.1,req_tot=3011.0,comp=3011.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=540,p50=1.0,p99=1.0,req/s=300.7,req_tot=3007.0,comp=3007.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=550,p50=1.0,p99=1.0,req/s=302.7,req_tot=3027.0,comp=3027.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=560,p50=1.0,p99=1.0,req/s=243.6,req_tot=2436.0,comp=2436.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=570,p50=1.0,p99=1.0,req/s=195.4,req_tot=1954.0,comp=1954.0,supp=300.0,inst=41,config=list[3, 3, 1, 1, 1, 8, 5, 2, 2, 5, 5, 5]
[GLOBAL_MONITOR] T=580,p50=1.0,p99=1.0,req/s=79.8,req_tot=798.0,comp=798.0,supp=220.0,inst=33,config=list[2, 2, 1, 1, 1, 6, 4, 2, 2, 4, 4, 4]
[GLOBAL_MONITOR] T=590,p50=1.0,p99=788.235294117647,req/s=150.3,req_tot=1503.0,comp=928.0,supp=120.0,inst=20,config=list[2, 2, 1, 1, 1, 3, 2, 1, 1, 2, 2, 2]
[GLOBAL_MONITOR] T=600,p50=2000.0,p99=8897.5,req/s=445.6,req_tot=4456.0,comp=1531.0,supp=220.0,inst=33,config=list[2, 2, 1, 1, 1, 6, 4, 2, 2, 4, 4, 4]
